2021/02/27 01:08:28 [error] 9#9: *34 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:09:31 [error] 9#9: *36 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:10:35 [error] 9#9: *38 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:11:38 [error] 9#9: *40 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:12:41 [error] 9#9: *42 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:13:44 [error] 9#9: *44 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:14:47 [error] 9#9: *46 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:15:50 [error] 9#9: *48 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:16:53 [error] 9#9: *50 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:17:57 [error] 9#9: *52 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:19:00 [error] 9#9: *54 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:20:03 [error] 9#9: *56 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:21:06 [error] 9#9: *58 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:22:09 [error] 9#9: *60 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:23:38 [warn] 10#10: *17 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/commons/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/commons/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:24:39 [error] 10#10: *17 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:25:42 [error] 10#10: *9 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:26:45 [error] 10#10: *28 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
